"Year","Month","Day","Hour","Temperature_mean","Humidity_mean","WindSpeed_mean","GeneralDiffuseFlows_mean","DiffuseFlows_mean","PowerConsumption_Zone1_sum","PowerConsumption_Zone2_sum","PowerConsumption_Zone3_sum","Weekday_first","IsWeekend_first","TimeOfDay_Afternoon_first","TimeOfDay_Evening_first","TimeOfDay_Morning_first","TimeOfDay_Night_first","Season_Autumn_first","Season_Spring_first","Season_Summer_first","Season_Winter_first","Temperature_mean_lag4","Temperature_mean_lag8","Temperature_mean_lag12","Temperature_mean_lag24","Temperature_mean_lag48","Humidity_mean_lag4","Humidity_mean_lag8","Humidity_mean_lag12","Humidity_mean_lag24","Humidity_mean_lag48","WindSpeed_mean_lag4","WindSpeed_mean_lag8","WindSpeed_mean_lag12","WindSpeed_mean_lag24","WindSpeed_mean_lag48","GeneralDiffuseFlows_mean_lag4","GeneralDiffuseFlows_mean_lag8","GeneralDiffuseFlows_mean_lag12","GeneralDiffuseFlows_mean_lag24","GeneralDiffuseFlows_mean_lag48","DiffuseFlows_mean_lag4","DiffuseFlows_mean_lag8","DiffuseFlows_mean_lag12","DiffuseFlows_mean_lag24","DiffuseFlows_mean_lag48","PowerConsumption_Zone1_sum_lag4","PowerConsumption_Zone1_sum_lag8","PowerConsumption_Zone1_sum_lag12","PowerConsumption_Zone1_sum_lag24","PowerConsumption_Zone1_sum_lag48","PowerConsumption_Zone2_sum_lag4","PowerConsumption_Zone2_sum_lag8","PowerConsumption_Zone2_sum_lag12","PowerConsumption_Zone2_sum_lag24","PowerConsumption_Zone2_sum_lag48","PowerConsumption_Zone3_sum_lag4","PowerConsumption_Zone3_sum_lag8","PowerConsumption_Zone3_sum_lag12","PowerConsumption_Zone3_sum_lag24","PowerConsumption_Zone3_sum_lag48"
2017,1,1,0,5.666666666666667,74.5,0,0,0,175184,108158,115510,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,1,1,5,77.16666666666667,0,0,0,147940,96468,102256,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,1,2,4.5,78.33333333333333,0,0,0,132496,85981,94054,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,1,3,4.666666666666667,76.5,0,0,0,124863,79314,89301,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,1,4,4.666666666666667,73.66666666666667,0,0,0,122853,77527,85901,6,1,0,0,0,1,0,0,0,1,5.666666666666667,0,0,0,0,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175184,0,0,0,0,108158,0,0,0,0,115510,0,0,0,0
2017,1,1,5,4.166666666666667,74.66666666666667,0,0,0,124838,78416,86367,6,1,0,0,0,1,0,0,0,1,5,0,0,0,0,77.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147940,0,0,0,0,96468,0,0,0,0,102256,0,0,0,0
2017,1,1,6,4,75.33333333333333,0,0,0,129889,81575,87079,6,1,0,0,1,0,0,0,0,1,4.5,0,0,0,0,78.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132496,0,0,0,0,85981,0,0,0,0,94054,0,0,0,0
2017,1,1,7,4,73.16666666666667,0,0,0,111241,68696,69313,6,1,0,0,1,0,0,0,0,1,4.666666666666667,0,0,0,0,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124863,0,0,0,0,79314,0,0,0,0,89301,0,0,0,0
2017,1,1,8,4,73.16666666666667,0,13.166666666666666,6,117627,70429,67139,6,1,0,0,1,0,0,0,0,1,4.666666666666667,5.666666666666667,0,0,0,73.66666666666667,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122853,175184,0,0,0,77527,108158,0,0,0,85901,115510,0,0,0
2017,1,1,9,4,73.5,0,144.33333333333334,24.833333333333332,137430,82884,78155,6,1,0,0,1,0,0,0,0,1,4.166666666666667,5,0,0,0,74.66666666666667,77.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124838,147940,0,0,0,78416,96468,0,0,0,86367,102256,0,0,0
