,Year,Month,Day,Hour,Temperature_mean,Humidity_mean,WindSpeed_mean,GeneralDiffuseFlows_mean,DiffuseFlows_mean,Weekday_first,IsWeekend_first,TimeOfDay_Afternoon_first,TimeOfDay_Evening_first,TimeOfDay_Morning_first,TimeOfDay_Night_first,Season_Autumn_first,Season_Spring_first,Season_Summer_first,Season_Winter_first,Temperature_mean_lag4,Temperature_mean_lag8,Temperature_mean_lag12,Temperature_mean_lag24,Temperature_mean_lag48,Humidity_mean_lag4,Humidity_mean_lag8,Humidity_mean_lag12,Humidity_mean_lag24,Humidity_mean_lag48,WindSpeed_mean_lag4,WindSpeed_mean_lag8,WindSpeed_mean_lag12,WindSpeed_mean_lag24,WindSpeed_mean_lag48,GeneralDiffuseFlows_mean_lag4,GeneralDiffuseFlows_mean_lag8,GeneralDiffuseFlows_mean_lag12,GeneralDiffuseFlows_mean_lag24,GeneralDiffuseFlows_mean_lag48,DiffuseFlows_mean_lag4,DiffuseFlows_mean_lag8,DiffuseFlows_mean_lag12,DiffuseFlows_mean_lag24,DiffuseFlows_mean_lag48,PowerConsumption_Zone1_sum_lag4,PowerConsumption_Zone1_sum_lag8,PowerConsumption_Zone1_sum_lag12,PowerConsumption_Zone1_sum_lag24,PowerConsumption_Zone1_sum_lag48,PowerConsumption_Zone2_sum_lag4,PowerConsumption_Zone2_sum_lag8,PowerConsumption_Zone2_sum_lag12,PowerConsumption_Zone2_sum_lag24,PowerConsumption_Zone2_sum_lag48,PowerConsumption_Zone3_sum_lag4,PowerConsumption_Zone3_sum_lag8,PowerConsumption_Zone3_sum_lag12,PowerConsumption_Zone3_sum_lag24,PowerConsumption_Zone3_sum_lag48,label
8337,2017,12,14,9,11.0,70.0,0.0,68.5,59.833333333333336,3,0,0,0,1,0,0,0,0,1,11.0,12.0,12.666666666666666,13.0,18.0,66.33333333333333,58.0,50.66666666666666,55.5,49.16666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,91.16666666666669,0.0,0.0,0.0,35.833333333333336,47.16666666666666,133569,141217,225475,165709,167030,105711,112518,194905,129445,130167,53811,57734,90170,46627,47834,168526
7819,2017,11,22,19,11.166666666666666,64.33333333333333,4.0,0.0,0.0,2,0,0,1,0,0,1,0,0,0,15.0,13.333333333333334,9.666666666666666,13.0,18.166666666666668,48.16666666666666,63.0,69.66666666666667,46.5,69.16666666666667,4.0,4.0,4.0,0.0,0.0,171.5,499.3333333333333,0.1666666666666666,0.0,0.0,139.83333333333334,103.0,0.1666666666666666,0.0,0.0,179954,196724,131633,235702,237418,146891,137049,113293,198964,198154,63311,61033,44591,98275,103596,235622
3915,2017,6,13,3,17.0,66.5,0.0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,18.166666666666668,20.666666666666668,22.166666666666668,17.0,20.0,55.333333333333336,44.5,42.5,65.66666666666667,60.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,382.0,0.0,0.0,0.0,40.5,211.16666666666663,0.0,0.0,260139,273159,221343,198557,201801,146389,161451,124751,122166,109161,152144,159888,111700,119948,122699,208221
7936,2017,11,27,16,18.166666666666668,61.5,0.0,195.5,85.33333333333333,0,0,1,0,0,0,1,0,0,0,16.833333333333332,8.0,10.0,20.33333333333333,19.0,73.5,88.16666666666667,85.83333333333333,44.66666666666666,48.16666666666666,0.0,3.0,0.0,4.0,0.0,478.5,31.83333333333333,0.0,176.5,199.83333333333331,63.66666666666666,17.666666666666668,0.0,96.33333333333331,122.66666666666669,173972,153794,131351,175100,180857,152978,122182,99250,134217,150110,72847,47749,57238,63646,62194,187492
1739,2017,3,14,11,15.166666666666666,72.0,0.0,372.8333333333333,273.6666666666667,1,0,0,0,1,0,0,1,0,0,11.166666666666666,14.0,12.166666666666666,15.0,16.0,84.0,81.0,84.66666666666667,69.66666666666667,52.833333333333336,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,642.3333333333334,666.5,5.5,0.0,0.0,104.5,59.66666666666666,138016,135884,191181,206034,189857,88263,81524,113793,123506,106577,68920,88221,114948,96268,100552,201144
4775,2017,7,18,23,26.166666666666668,41.66666666666666,4.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,32.0,36.0,32.5,26.33333333333333,25.0,27.0,22.666666666666668,29.33333333333333,46.5,83.16666666666667,4.0,4.0,4.0,4.0,4.0,125.33333333333331,764.1666666666666,807.5,0.0,0.0,133.16666666666666,63.16666666666666,65.83333333333333,0.0,0.0,262627,243741,247907,245018,241477,175649,169151,170617,164214,158035,233355,181166,179341,213953,214333,248112
8222,2017,12,9,14,16.0,56.833333333333336,0.0,404.5,47.66666666666666,5,1,1,0,0,0,0,0,0,1,7.666666666666667,6.0,7.5,17.0,15.833333333333334,82.16666666666667,87.0,82.66666666666667,46.833333333333336,54.16666666666666,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,433.6666666666667,430.3333333333333,54.333333333333336,0.0,0.0,70.66666666666667,44.66666666666666,175554,132591,130163,180693,184271,142502,107158,105280,154456,162691,54767,56145,61170,58830,53857,189520
1650,2017,3,10,18,19.33333333333333,53.333333333333336,0.0,116.83333333333331,134.66666666666666,4,0,0,1,0,0,0,1,0,0,20.5,11.666666666666666,12.0,14.333333333333334,14.333333333333334,45.0,88.16666666666667,89.5,75.5,70.83333333333333,0.0,0.0,0.0,0.0,0.0,724.5,377.6666666666667,0.0,116.5,90.83333333333331,41.5,198.16666666666663,0.0,132.5,91.5,198350,184488,132906,221697,241109,123908,129895,80676,152727,133819,94243,89388,75266,132484,130369,224109
73,2017,1,4,1,8.0,81.5,0.0,0.0,0.0,2,0,0,0,0,1,0,0,0,1,9.0,14.0,15.0,11.666666666666666,10.333333333333334,83.16666666666667,65.66666666666667,62.333333333333336,72.33333333333333,78.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,84.0,488.8333333333333,0.0,0.0,0.0,105.5,44.16666666666666,0.0,0.0,241164,226970,201736,135819,135072,157751,148129,129276,91300,89461,151088,132829,100947,91139,90473,139482
4907,2017,7,24,11,28.83333333333333,46.5,4.0,805.3333333333334,37.833333333333336,0,0,0,0,1,0,0,0,1,0,23.666666666666668,24.0,24.0,30.5,30.0,60.5,53.16666666666666,57.833333333333336,30.0,58.0,4.0,4.0,4.0,4.0,4.0,160.66666666666666,0.0,0.0,812.3333333333334,795.1666666666666,152.0,0.0,0.0,47.0,67.33333333333333,172344,180795,244495,206980,228579,121091,121356,166009,139148,160777,132797,157759,227184,185709,182822,251555
3208,2017,5,14,16,26.0,35.166666666666664,1.3333333333333333,630.1666666666666,671.5,6,1,1,0,0,0,0,1,0,0,25.5,18.5,20.33333333333333,34.833333333333336,20.83333333333333,36.0,59.833333333333336,50.66666666666666,18.83333333333333,71.33333333333333,0.0,4.0,0.0,1.8333333333333333,0.0,900.0,378.1666666666667,0.0,586.3333333333334,577.6666666666666,46.333333333333336,364.1666666666667,0.0,563.8333333333334,554.6666666666666,201780,144243,138615,191870,196844,108341,87939,81919,114239,127275,112153,78445,86280,104376,97130,182367
3019,2017,5,6,19,20.0,60.5,0.0,72.66666666666667,80.16666666666667,5,1,0,1,0,0,0,1,0,0,21.0,20.33333333333333,14.5,24.166666666666668,20.166666666666668,57.0,64.33333333333333,86.33333333333333,24.83333333333333,46.0,0.0,0.0,4.0,4.0,0.0,740.0,821.6666666666666,105.5,82.5,75.0,79.0,54.0,94.0,93.33333333333331,82.66666666666667,196793,212910,147478,250427,263874,124232,130471,94288,152791,158610,104732,107256,68365,143665,151950,244837
